СТАНЦИЯ,дата,Значение
Беспонтовая,2024-04-27,277.7935777181776
Беспонтовая,2024-04-28,236.71369262134465
Беспонтовая,2024-04-29,273.3346604067549
Беспонтовая,2024-04-30,275.45177715840487
Беспонтовая,2024-05-01,278.3650664669632
Беспонтовая,2024-05-02,290.353537663212
Беспонтовая,2024-05-03,275.8655841420765
Беспонтовая,2024-05-04,256.8736296785622
Беспонтовая,2024-05-05,222.27376609632938
Беспонтовая,2024-05-06,265.50910587642863
Беспонтовая,2024-05-07,274.187332124942
Беспонтовая,2024-05-08,283.42210152782957
Беспонтовая,2024-05-09,301.3132678106324
Беспонтовая,2024-05-10,292.14300809106385
Беспонтовая,2024-05-11,277.7357821570778
Беспонтовая,2024-05-12,246.86270343623107
Беспонтовая,2024-05-13,292.8688989171992
Беспонтовая,2024-05-14,303.29421681590486
Беспонтовая,2024-05-15,313.2168404278283
Беспонтовая,2024-05-16,330.73470784442384
Беспонтовая,2024-05-17,320.1617834481169
Беспонтовая,2024-05-18,303.387107168933
Беспонтовая,2024-05-19,269.27722870853165
Беспонтовая,2024-05-20,311.3006639945701
Беспонтовая,2024-05-21,317.1448223472156
Беспонтовая,2024-05-22,322.05507938167466
Беспонтовая,2024-05-23,334.31103520619115
Беспонтовая,2024-05-24,318.4171627075657
Беспонтовая,2024-05-25,296.45594490100734
Беспонтовая,2024-05-26,257.48429036128175
Беспонтовая,2024-05-27,295.15204906920644
Беспонтовая,2024-05-28,297.3132598225763
Беспонтовая,2024-05-29,299.3599789324776
Беспонтовая,2024-05-30,309.6938911594043
Беспонтовая,2024-05-31,292.91305085648844
Беспонтовая,2024-06-01,271.1619728939097
Беспонтовая,2024-06-02,233.5259567356557
Беспонтовая,2024-06-03,273.6485312420009
Беспонтовая,2024-06-04,279.3426854984311
Беспонтовая,2024-06-05,285.92573741860866
Беспонтовая,2024-06-06,301.69301092985404
Беспонтовая,2024-06-07,291.1076083074205
Беспонтовая,2024-06-08,276.15440646279035
Беспонтовая,2024-06-09,245.73904317419402
Беспонтовая,2024-06-10,293.3106404215787
Беспонтовая,2024-06-11,306.47877096193065
Беспонтовая,2024-06-12,320.354346811509
Беспонтовая,2024-06-13,343.02941871797145
Беспонтовая,2024-06-14,338.7729883424968
Беспонтовая,2024-06-15,329.390779610344
Беспонтовая,2024-06-16,303.6295609123329
Беспонтовая,2024-06-17,354.8046043515497
Беспонтовая,2024-06-18,370.42064543138093
Беспонтовая,2024-06-19,385.5159016699183
Беспонтовая,2024-06-20,408.14404525031216
Беспонтовая,2024-06-21,402.5711665075655
Беспонтовая,2024-06-22,390.63564080828814
Беспонтовая,2024-06-23,361.1514886405278
Беспонтовая,2024-06-24,407.53384532033493
Беспонтовая,2024-06-25,417.4169650690789
Беспонтовая,2024-06-26,425.9944085659694
Беспонтовая,2024-06-27,441.49642618712073
Беспонтовая,2024-06-28,428.38171374341
Беспонтовая,2024-06-29,408.691611900288
Беспонтовая,2024-06-30,371.4475114976941
Козырная,2024-01-01,4670.650276524713
Козырная,2024-01-02,5393.838141088167
Козырная,2024-01-03,6003.882667344662
Козырная,2024-01-04,6579.423680028995
Козырная,2024-01-05,6910.193436981919
Козырная,2024-01-06,7014.466112274946
Козырная,2024-01-07,6947.7606282706065
Козырная,2024-01-08,7898.97175918125
Козырная,2024-01-09,8234.806071564448
Козырная,2024-01-10,8454.458194355622
Козырная,2024-01-11,8644.398104812564
Козырная,2024-01-12,8601.613735755825
Козырная,2024-01-13,8350.914453460724
Козырная,2024-01-14,7953.511279235286
Козырная,2024-01-15,8603.051254442897
Козырная,2024-01-16,8669.984244862733
Козырная,2024-01-17,8656.198629388433
Козырная,2024-01-18,8649.796723894844
Козырная,2024-01-19,8448.353634575504
Козырная,2024-01-20,8076.263736618839
Козырная,2024-01-21,7593.388608697692
Козырная,2024-01-22,8191.181162552966
Козырная,2024-01-23,8237.161072453577
Козырная,2024-01-24,8229.674327896646
Козырная,2024-01-25,8252.803818704439
Козырная,2024-01-26,8099.770502255746
Козырная,2024-01-27,7790.425121956214
Козырная,2024-01-28,7380.040119053601
Козырная,2024-01-29,8055.5724442797555
Козырная,2024-01-30,8180.2686073369205
Козырная,2024-01-31,8248.541387495501
Козырная,2024-02-01,8340.982169436307
Козырная,2024-02-02,8247.846037398882
Козырная,2024-02-03,7986.607765491613
Козырная,2024-02-04,7610.797139137016
Козырная,2024-02-05,8306.283751445073
Козырная,2024-02-06,8435.882695167873
Козырная,2024-02-07,8494.211283929037
Козырная,2024-02-08,8562.662069382892
Козырная,2024-02-09,8432.831129942639
Козырная,2024-02-10,8124.002084516986
Козырная,2024-02-11,7691.896975474663
Козырная,2024-02-12,8324.86717782221
Козырная,2024-02-13,8388.398975932503
Козырная,2024-02-14,8379.867268416263
Козырная,2024-02-15,8383.40599891564
Козырная,2024-02-16,8193.237523291242
Козырная,2024-02-17,7831.064409680295
Козырная,2024-02-18,7354.7375787008
Козырная,2024-02-19,7954.376345931353
Козырная,2024-02-20,7996.816989214366
Козырная,2024-02-21,7980.324806887617
Козырная,2024-02-22,7989.439257743468
Козырная,2024-02-23,7818.294853434985
Козырная,2024-02-24,7488.021223045818
Козырная,2024-02-25,7055.435655985377
Козырная,2024-02-26,7709.202587827184
Козырная,2024-02-27,7814.335100632409
Козырная,2024-02-28,7866.971455316915
Козырная,2024-02-29,7949.293967999204
Козырная,2024-03-01,7852.930368154933
Козырная,2024-03-02,7596.43835437956
Козырная,2024-03-03,7234.083865762109
Козырная,2024-03-04,7952.084749510338
Козырная,2024-03-05,8113.192203184026
Козырная,2024-03-06,8211.540489759269
Козырная,2024-03-07,8327.629967968314
Козырная,2024-03-08,8251.781623807234
Козырная,2024-03-09,8001.662241372187
Козырная,2024-03-10,7631.089572059059
Козырная,2024-03-11,8326.288473446293
Козырная,2024-03-12,8450.47015310815
Козырная,2024-03-13,8498.6652404927
Козырная,2024-03-14,8552.67640962821
Козырная,2024-03-15,8404.489847562072
Козырная,2024-03-16,8073.746204604815
Козырная,2024-03-17,7616.482220855368
Козырная,2024-03-18,8221.3161119642
Козырная,2024-03-19,8253.951167816487
Козырная,2024-03-20,8211.930737435898
Козырная,2024-03-21,8179.512826512437
Козырная,2024-03-22,7951.006080020595
Козырная,2024-03-23,7548.170159924997
Козырная,2024-03-24,7028.893908994293
Козырная,2024-03-25,7583.326335158482
Козырная,2024-03-26,7578.336517334337
Козырная,2024-03-27,7512.236899806413
Козырная,2024-03-28,7469.639104015938
Козырная,2024-03-29,7244.784516245178
Козырная,2024-03-30,6858.952718758573
Козырная,2024-03-31,6369.160786021082
Козырная,2024-04-01,6964.327699076642
Козырная,2024-04-02,7009.7788132725245
Козырная,2024-04-03,7002.023335881657
Козырная,2024-04-04,7023.672137172018
Козырная,2024-04-05,6866.836112260063
Козырная,2024-04-06,6550.605950294452
Козырная,2024-04-07,6129.824022494133
Козырная,2024-04-08,6791.320306452806
Козырная,2024-04-09,6898.484994503942
Козырная,2024-04-10,6946.108575448702
Козырная,2024-04-11,7015.354733802194
Козырная,2024-04-12,6897.204553806501
Козырная,2024-04-13,6609.971457216878
Козырная,2024-04-14,6208.09650498046
Козырная,2024-04-15,6878.395277282812
Козырная,2024-04-16,6984.628675827694
Козырная,2024-04-17,7022.328540450564
Козырная,2024-04-18,7073.743928781111
Козырная,2024-04-19,6931.247435025767
Козырная,2024-04-20,6614.802220361549
Козырная,2024-04-21,6180.700942788197
Козырная,2024-04-22,6817.749622582667
Козырная,2024-04-23,6891.770814704494
Козырная,2024-04-24,6900.3591489158825
Козырная,2024-04-25,6927.757327604035
Козырная,2024-04-26,6768.194200517079
Козырная,2024-04-27,6443.287763373088
Козырная,2024-04-28,6010.726305935973
Козырная,2024-04-29,6660.402582961755
Козырная,2024-04-30,6758.8769591720975
Козырная,2024-05-01,6804.103862243056
Козырная,2024-05-02,6880.290561493518
Козырная,2024-05-03,6781.23044513987
Козырная,2024-05-04,6527.713806493731
Козырная,2024-05-05,6176.2291333562
Козырная,2024-05-06,6915.129156341845
Козырная,2024-05-07,7109.136623235367
Козырная,2024-05-08,7254.122814656402
Козырная,2024-05-09,7432.02620728416
Козырная,2024-05-10,7434.251604378513
Козырная,2024-05-11,7279.150707567352
Козырная,2024-05-12,7020.794968536935
Козырная,2024-05-13,7845.212769141287
Козырная,2024-05-14,8114.963707155489
Козырная,2024-05-15,8323.980898967726
Козырная,2024-05-16,8552.546752621989
Козырная,2024-05-17,8590.74079007328
Козырная,2024-05-18,8455.959017349918
Козырная,2024-05-19,8201.714517198983
Козырная,2024-05-20,9013.890495150486
Козырная,2024-05-21,9255.318110020127
Козырная,2024-05-22,9420.60993795039
Козырная,2024-05-23,9591.114846217757
Козырная,2024-05-24,9558.333552174963
Козырная,2024-05-25,9341.395413263403
Козырная,2024-05-26,8995.807486660626
Козырная,2024-05-27,9709.64872655403
Козырная,2024-05-28,9848.083507608748
Козырная,2024-05-29,9908.127342872865
Козырная,2024-05-30,9973.532688751127
Козырная,2024-05-31,9838.136259059187
Козырная,2024-06-01,9523.270503060296
Козырная,2024-06-02,9086.452290727979
Козырная,2024-06-03,9717.52351038884
Козырная,2024-06-04,9783.119379252053
Козырная,2024-06-05,9781.398671115934
Козырная,2024-06-06,9796.904772451195
Козырная,2024-06-07,9623.899658244212
Козырная,2024-06-08,9283.773742427216
Козырная,2024-06-09,8833.744567829915
Козырная,2024-06-10,9463.018587853652
Козырная,2024-06-11,9537.291028225573
Козырная,2024-06-12,9553.516888657765
Козырная,2024-06-13,9594.820556501618
Козырная,2024-06-14,9453.884437152654
Козырная,2024-06-15,9150.417676871339
Козырная,2024-06-16,8739.915932694528
Козырная,2024-06-17,9409.884365853137
Козырная,2024-06-18,9524.39677365004
Козырная,2024-06-19,9578.921916499086
Козырная,2024-06-20,9655.282645203577
Козырная,2024-06-21,9545.086563910083
Козырная,2024-06-22,9267.227888147709
Козырная,2024-06-23,8876.670336854051
Козырная,2024-06-24,9560.682457234005
Козырная,2024-06-25,9683.397885141509
Козырная,2024-06-26,9740.631565901844
Козырная,2024-06-27,9814.817892328942
Козырная,2024-06-28,9698.410221063066
Козырная,2024-06-29,9411.342504566752
Козырная,2024-06-30,9009.764274460793
Любимая,2024-01-01,1996.7278278180058
Любимая,2024-01-02,2087.1883859696195
Любимая,2024-01-03,2166.4690225998147
Любимая,2024-01-04,2269.5584416675747
Любимая,2024-01-05,2299.9581325941103
Любимая,2024-01-06,2323.243163445646
Любимая,2024-01-07,2324.440342170999
Любимая,2024-01-08,2425.370538255653
Любимая,2024-01-09,2458.088820655263
Любимая,2024-01-10,2479.4000155301155
Любимая,2024-01-11,2525.3275643785664
Любимая,2024-01-12,2500.3462549317214
Любимая,2024-01-13,2470.9240480586755
Любимая,2024-01-14,2422.883472327987
Любимая,2024-01-15,2478.7297428251236
Любимая,2024-01-16,2471.0795599087196
Любимая,2024-01-17,2457.1684196195906
Любимая,2024-01-18,2473.31446745716
Любимая,2024-01-19,2424.149538472328
Любимая,2024-01-20,2376.1625955327063
Любимая,2024-01-21,2315.065944688285
Любимая,2024-01-22,2363.1312128990007
Любимая,2024-01-23,2352.6287985796353
Любимая,2024-01-24,2340.3483141381557
Любимая,2024-01-25,2362.077680700812
Любимая,2024-01-26,2321.851097260539
Любимая,2024-01-27,2285.510637258231
Любимая,2024-01-28,2238.0913665387907
Любимая,2024-01-29,2301.176469469668
Любимая,2024-01-30,2306.3555946634733
Любимая,2024-01-31,2309.7634528486788
Любимая,2024-02-01,2346.5758654021224
Любимая,2024-02-02,2320.2730608907586
Любимая,2024-02-03,2296.214595402434
Любимая,2024-02-04,2259.0354705829427
Любимая,2024-02-05,2330.009681370366
Любимая,2024-02-06,2340.514221551758
Любимая,2024-02-07,2346.570472208078
Любимая,2024-02-08,2383.340142225304
Любимая,2024-02-09,2354.3856072807375
Любимая,2024-02-10,2325.239148675569
Любимая,2024-02-11,2280.790864184296
Любимая,2024-02-12,2342.6417480043156
Любимая,2024-02-13,2342.5552923173764
Любимая,2024-02-14,2336.984910054395
Любимая,2024-02-15,2361.5547622956055
Любимая,2024-02-16,2320.3042792165497
Любимая,2024-02-17,2279.2413345401574
Любимая,2024-02-18,2223.71430776208
Любимая,2024-02-19,2275.7499842488915
Любимая,2024-02-20,2267.491077314343
Любимая,2024-02-21,2255.7110703695585
Любимая,2024-02-22,2276.2843172148378
Любимая,2024-02-23,2233.42199065187
Любимая,2024-02-24,2193.2190791940434
Любимая,2024-02-25,2141.022838196023
Любимая,2024-02-26,2198.7697452681846
Любимая,2024-02-27,2198.424769071854
Любимая,2024-02-28,2196.500599323789
Любимая,2024-02-29,2228.5346521438246
Любимая,2024-03-01,2198.3342468936926
Любимая,2024-03-02,2171.5348956612997
Любимая,2024-03-03,2132.981795694417
Любимая,2024-03-04,2204.081210044385
Любимая,2024-03-05,2216.255142368736
Любимая,2024-03-06,2225.476523169007
Любимая,2024-03-07,2266.7622754334934
Любимая,2024-03-08,2243.434206304056
Любимая,2024-03-09,2220.692225317242
Любимая,2024-03-10,2183.0095598547987
Любимая,2024-03-11,2251.4962657755086
Любимая,2024-03-12,2257.364094789921
Любимая,2024-03-13,2256.469643710237
Любимая,2024-03-14,2283.812921549259
Любимая,2024-03-15,2242.801115505902
Любимая,2024-03-16,2198.82196165555
Любимая,2024-03-17,2136.6363696211583
Любимая,2024-03-18,2177.7366517495925
Любимая,2024-03-19,2153.803543332037
Любимая,2024-03-20,2121.239132984205
Любимая,2024-03-21,2115.6530968900806
Любимая,2024-03-22,2041.1123324128669
Любимая,2024-03-23,1963.6987596121364
Любимая,2024-03-24,1868.885341169021
Любимая,2024-03-25,1878.8771001614477
Любимая,2024-03-26,1826.0507673770096
Любимая,2024-03-27,1767.4706267669153
Любимая,2024-03-28,1739.3583945957294
Любимая,2024-03-29,1646.3276503015156
Любимая,2024-03-30,1554.9279796139722
Любимая,2024-03-31,1451.0092316344076
Любимая,2024-04-01,1457.0529705708163
Любимая,2024-04-02,1405.6049973099948
Любимая,2024-04-03,1353.7866889683855
Любимая,2024-04-04,1337.763103080848
Любимая,2024-04-05,1261.9784044825728
Любимая,2024-04-06,1192.703743704234
Любимая,2024-04-07,1115.4078862699182
Любимая,2024-04-08,1152.097503772084
Любимая,2024-04-09,1134.7607694278918
Любимая,2024-04-10,1119.8917176033165
Любимая,2024-04-11,1142.97297707149
Любимая,2024-04-12,1107.7270600908903
Любимая,2024-04-13,1079.680931207526
Любимая,2024-04-14,1043.5537321454026
Любимая,2024-04-15,1120.6141437285055
Любимая,2024-04-16,1142.1406020362344
Любимая,2024-04-17,1163.961418287409
Любимая,2024-04-18,1220.9520283291224
Любимая,2024-04-19,1216.2992058294656
Любимая,2024-04-20,1215.076659732143
Любимая,2024-04-21,1201.6416411139455
Любимая,2024-04-22,1296.998847284963
Любимая,2024-04-23,1332.2647097684326
Любимая,2024-04-24,1363.2090502893925
Любимая,2024-04-25,1424.7513314148514
Любимая,2024-04-26,1420.221401985104
Любимая,2024-04-27,1414.9292866034252
Любимая,2024-04-28,1393.5538314936734
Любимая,2024-04-29,1477.4967344263093
Любимая,2024-04-30,1498.3353308427172
Любимая,2024-05-01,1512.3514432059364
Любимая,2024-05-02,1555.0138714446355
Любимая,2024-05-03,1530.2247944092512
Любимая,2024-05-04,1503.8750098853986
Любимая,2024-05-05,1461.2182020224673
Любимая,2024-05-06,1524.2111287466623
Любимая,2024-05-07,1524.9534449320333
Любимая,2024-05-08,1520.204781979
Любимая,2024-05-09,1545.8569374120834
Любимая,2024-05-10,1506.1716755787345
Любимая,2024-05-11,1467.329248186649
Любимая,2024-05-12,1414.7979508201795
Любимая,2024-05-13,1470.6716789787515
Любимая,2024-05-14,1467.109213227646
Любимая,2024-05-15,1460.8528115458319
Любимая,2024-05-16,1487.7038657897633
Любимая,2024-05-17,1451.765976277484
Любимая,2024-05-18,1419.0003607941499
Любимая,2024-05-19,1374.6036825937072
Любимая,2024-05-20,1440.354997385176
Любимая,2024-05-21,1448.0652613059488
Любимая,2024-05-22,1454.1066747690095
Любимая,2024-05-23,1493.8993090306494
Любимая,2024-05-24,1471.1650612832696
Любимая,2024-05-25,1451.4935567818095
Любимая,2024-05-26,1419.7298032679764
Любимая,2024-05-27,1497.3300442705095
Любимая,2024-05-28,1515.819032297993
Любимая,2024-05-29,1531.3258137634093
Любимая,2024-05-30,1579.0753316831463
Любимая,2024-05-31,1562.6457964498657
Любимая,2024-06-01,1547.5363946689172
Любимая,2024-06-02,1518.555140125229
Любимая,2024-06-03,1597.1733585553163
Любимая,2024-06-04,1614.9801162995127
Любимая,2024-06-05,1628.2138141526395
Любимая,2024-06-06,1672.24841772861
Любимая,2024-06-07,1650.844470113485
Любимая,2024-06-08,1629.7096761595376
Любимая,2024-06-09,1593.8790988095593
Любимая,2024-06-10,1665.0617051532927
Любимая,2024-06-11,1675.0868206146604
Любимая,2024-06-12,1680.4279558614055
Любимая,2024-06-13,1716.6817089243175
Любимая,2024-06-14,1687.8121008107992
Любимая,2024-06-15,1659.705321892399
Любимая,2024-06-16,1617.5450877387188
Любимая,2024-06-17,1683.1554666105167
Любимая,2024-06-18,1688.444824715003
Любимая,2024-06-19,1689.9284027808635
Любимая,2024-06-20,1723.2072359532322
Любимая,2024-06-21,1692.2137457764238
Любимая,2024-06-22,1662.7689145974264
Любимая,2024-06-23,1619.96113935335
Любимая,2024-06-24,1685.4934941407275
Любимая,2024-06-25,1691.1328882723817
Любимая,2024-06-26,1693.2384526452886
Любимая,2024-06-27,1727.2466701346618
Любимая,2024-06-28,1696.923373126102
Любимая,2024-06-29,1667.9273098425026
Любимая,2024-06-30,1625.1951710810747
Модная,2024-01-01,2656.50419347609
Модная,2024-01-02,2631.663622086164
Модная,2024-01-03,2625.5216521230604
Модная,2024-01-04,2583.550857166882
Модная,2024-01-05,2632.122462464118
Модная,2024-01-06,2582.7006646239297
Модная,2024-01-07,2589.529365369695
Модная,2024-01-08,2518.7342669192194
Модная,2024-01-09,2527.172375721087
Модная,2024-01-10,2556.3637935478896
Модная,2024-01-11,2550.5866149278586
Модная,2024-01-12,2635.03942228735
Модная,2024-01-13,2620.0687382507895
Модная,2024-01-14,2658.886693022352
Модная,2024-01-15,2616.7009990652205
Модная,2024-01-16,2649.5885206176627
Модная,2024-01-17,2698.4466749069898
Модная,2024-01-18,2707.1029763340593
Модная,2024-01-19,2800.4868551392074
Модная,2024-01-20,2788.860907114973
Модная,2024-01-21,2825.536790920467
Модная,2024-01-22,2775.9979852796714
Модная,2024-01-23,2796.7609703602097
Модная,2024-01-24,2829.3094944681125
Модная,2024-01-25,2818.1827957369896
Модная,2024-01-26,2889.1225857430536
Модная,2024-01-27,2853.2767236453838
Модная,2024-01-28,2864.8856430205296
Модная,2024-01-29,2790.374637851339
Модная,2024-01-30,2787.1844884553684
Модная,2024-01-31,2797.6760005486967
Модная,2024-02-01,2767.190208311947
Модная,2024-02-02,2822.169873313408
Модная,2024-02-03,2774.3409529239534
Модная,2024-02-04,2778.380744390891
Модная,2024-02-05,2700.996335828
Модная,2024-02-06,2699.746235979644
Модная,2024-02-07,2716.9410026324053
Модная,2024-02-08,2697.704716479029
Модная,2024-02-09,2768.1028754679764
Модная,2024-02-10,2739.335176164283
Модная,2024-02-11,2765.4195376572097
Модная,2024-02-12,2712.2905160405558
Модная,2024-02-13,2736.644380161745
Модная,2024-02-14,2779.8659674651476
Модная,2024-02-15,2786.1183866075457
Модная,2024-02-16,2880.50030571346
Модная,2024-02-17,2873.268425084887
Модная,2024-02-18,2917.5506159739743
Модная,2024-02-19,2878.4720186683353
Модная,2024-02-20,2912.025559648175
Модная,2024-02-21,2959.02126285432
Модная,2024-02-22,2963.1947663624824
Модная,2024-02-23,3049.379234936461
Модная,2024-02-24,3027.7378413085708
Модная,2024-02-25,3051.48200603559
Модная,2024-02-26,2985.9975395248603
Модная,2024-02-27,2987.7101421686853
Модная,2024-02-28,2998.024779146857
Модная,2024-02-29,2961.419623393978
Модная,2024-03-01,3003.5991713717794
Модная,2024-03-02,2935.704238166453
Модная,2024-03-03,2912.0046591068462
Модная,2024-03-04,2798.9975637684397
Модная,2024-03-05,2754.2434644224995
Модная,2024-03-06,2720.275502645126
Модная,2024-03-07,2642.6633919240157
Модная,2024-03-08,2648.137498212047
Модная,2024-03-09,2548.771571318593
Модная,2024-03-10,2499.650706970392
Модная,2024-03-11,2367.948083091158
Модная,2024-03-12,2311.7432962397165
Модная,2024-03-13,2273.918115912844
Модная,2024-03-14,2200.2115458475264
Модная,2024-03-15,2217.3398536618315
Модная,2024-03-16,2137.1801638690513
Модная,2024-03-17,2114.4441376048107
Модная,2024-03-18,2015.7650901130532
Модная,2024-03-19,1998.5310499074658
Модная,2024-03-20,2004.7991359828297
Модная,2024-03-21,1979.3725950472192
Модная,2024-03-22,2047.9455236335943
Модная,2024-03-23,2021.3131632154498
Модная,2024-03-24,2053.0735350904356
Модная,2024-03-25,2008.742981904389
Модная,2024-03-26,2044.6173305883265
Модная,2024-03-27,2101.713281559653
Модная,2024-03-28,2123.8706341714806
Модная,2024-03-29,2235.9197013375847
Модная,2024-03-30,2247.911208250409
Модная,2024-03-31,2312.8339436342394
Модная,2024-04-01,2295.7423402759932
Модная,2024-04-02,2352.6254276945833
Модная,2024-04-03,2424.3516146186585
Модная,2024-04-04,2454.769891634688
Модная,2024-04-05,2568.8719139745185
Модная,2024-04-06,2577.0124884769493
Модная,2024-04-07,2632.6140762918426
Модная,2024-04-08,2601.27793388119
Модная,2024-04-09,2639.633869476517
Модная,2024-04-10,2689.2636788309737
Модная,2024-04-11,2694.779510079696
Модная,2024-04-12,2781.9623105358733
Модная,2024-04-13,2761.9585849877126
Модная,2024-04-14,2788.9617744655
Модная,2024-04-15,2729.3015469119864
Модная,2024-04-16,2740.2735979630957
Модная,2024-04-17,2764.0455811752813
Модная,2024-04-18,2745.720891931315
Модная,2024-04-19,2811.465838118598
Модная,2024-04-20,2772.6987032278503
Модная,2024-04-21,2783.7671758086417
Модная,2024-04-22,2711.0374870630617
Модная,2024-04-23,2711.727790410377
Модная,2024-04-24,2727.821226600458
Модная,2024-04-25,2704.1401180491807
Модная,2024-04-26,2766.4864497877616
Модная,2024-04-27,2725.846684214207
Модная,2024-04-28,2736.086857077812
Модная,2024-04-29,2663.0607185344
Модная,2024-04-30,2663.462841675469
Модная,2024-05-01,2678.761515986198
